,sen1,sen2,sen3,colalab,colasc
32,"In fact, nine out of ten students say that when it comes to safety, computers are rated an A+.","Everyone knows about hackers, and so we avoid them.","My parents even say that for over thirty years they have never had a single issue or risk of safety when using a computer, and neither have I. ""@CAPS3 are only powerful if you let them be, and let them take control,"" says @CAPS4, an expert on the subject.",LABEL_1,0.7634389996528625
33,These computers can even improve your mood.,"In a test done by @ORGANIZATION3 in @DATE3, @NUM3 people were put in seperate rooms with personal computers for @NUM4 hour.","Afterwards, @PERCENT2 said they felt an improvement in their mood.",LABEL_1,0.7481290698051453
34,"Computers have been one of technoligy's greatest advances, and yet one of society's downfall.","Originally thought to spread ideas and faraway places, computers have been proven to do quick the contrary.","Computers are dangerous devices, and are targeting young, wholesome kids.",LABEL_1,0.602108895778656
35,"These devices, the source of this mayhem, must immediately be removes from society because they take away the true benefits of life, have harmful effects on our health, and support some of the country's deadliest predators.","Firstly, computers are linked with the crime of stealing the pleasures of childhood.","Since @DATE1, the amount of adolescent users has shot up @PERCENT1.",LABEL_1,0.7519726157188416
36,"Plus, computers are great for research.","If you have to look up a new country, look at far away colleges or find out about the world, why not visit your handy computer?",You could learn which college is right for you without leaving your house.,LABEL_1,0.9752739071846008
37,"Just yesterday I had to type up a response, a free writing choice, and an entry for a history project.",Imagine if we had to go back to using typewriters.,Either homework wouldn't be done or everyone would have a major lack of sleep.,LABEL_1,0.9260143041610718
38,It doesn't get any better than that!,"So, which would you choose - losing your family relations or keeping in touch via email and computer applications?","If that isn't enough, computers make it easy to learn new things and accomplish tasks.",LABEL_1,0.9642236828804016
39,Do you know how many others face the same problem?,"Through a recent study, @NUM1 out of @NUM2 families in @LOCATION2 say they have relatives that are far away.",That is @PERCENT1 of @LOCATION2's population!,LABEL_1,0.8168096542358398
41,"From my personal experiences, I tend to ignore friends and family.","Speaking, playing, and generally socializing with others is a critical part of everyone's life.",Without this basic necessity people cannot be happy.,LABEL_1,0.9658553004264832
43,"Dear Local Newspaper, I believe that computers are an extremely useful tool in society.",It helps people learn new things about different cultures.,"Also, it lets you communicate with friends and family through the internet, for example, using facebook or @CAPS1.",LABEL_1,0.939128041267395
46,Even nature suffered from the advent of computers.,Fewer people went out to admire its beauty.,Nature is a wonderful teacher about the circle of life and the natural way of the world.,LABEL_1,0.909551203250885
47,All of the day's food settles into the stomach and little to none of it is burned off.,"Meanwhile, in some of the more severe cases the person is so entranced that bedtimes are pushed later.",Sleep is essential to the body and mind and going without can be damaging.,LABEL_1,0.9532827734947203
49,The innovation of computers was a great leap into discovery.,"Unfortunately, the negative aspects of this magnificent invention detract from the novelty.","With the computer came a plague of not exercising and a disinterest in, perhaps even an inabilty to enjoy nature.",LABEL_1,0.6919234991073608
50,"Dear @ORGANIZATION1, @CAPS1 has been brought to my attention that some people feel that computers are bad for us.",Some people say that they are a distraction to our physicaland mental health.,"Although I can see how some people would think this, I believe that computers are a good benifit to all society.",LABEL_1,0.6426273584365845
54,"So many people love to type on a keyboard as well, but so many different papers that you type could be lost.","I, for me, hate clutter, and I have so many school binders for papers to be lost in.",This is why I take great advantage of typing my paper every chance I get.,LABEL_1,0.6585161685943604
55,"Sometimes people are on the computer, learning and they don't even know @CAPS1.","Simply by visiting the @ORGANIZATION2 homepage, you automaticly see the news feeds of things happening around the world.",Other times people go online diliberatly to learn.,LABEL_1,0.8162441253662109
56,"They should be supported because they teach hand eye coordination, give people the ability to learn about faraway places, and allow people to talk to others online.","Firstly, computers help teach hand eye coordination.",Hand-eye coordination is a useful ability that is usod to excel in sports.,LABEL_1,0.7104513645172119
57,"Computers help a lot in school, while helping us learn so much more.",Computers also help with keeping in touch with friends and family.,"The days of short letters are replaced with long emails with pictures attached, sent in a matter of seconds whizzing through the internet only to arrive on your friend's screen.",LABEL_1,0.9323945045471193
59,"With programs such as @ORGANIZATION1 @CAPS2, you are given the option of different fonts, colors, bolding, pictures, symbols, and so on.",Another way computers have helped academically is in schools.,More and more teachers are using computers to help us learn.,LABEL_1,0.901273250579834
60,This technology has resulted in very poor eyesight in the general public.,"In addition, they lead to a much lower amount of social interaction.","Finally, they end up forcing people into an unhealthy lifestyle.",LABEL_1,0.8933963179588318
61,"The effect computers have on humans is by far a positive one, and the outstanding intelligence computers provide must be embraced, not feared and avoided.","Whether we like it or not, computers will be necessary to solve issues of the future.","Besides, for personal usage, computers are highly beneficial.",LABEL_1,0.9336669445037842
63,"As you can see, entertainment is everywhere on the web.",The time is now to understand the full benefits of computers.,"Computers are a benefit to modern day society because they help academically, encourage you to stay in touch with family and friend, and provide entertainment.",LABEL_1,0.967532217502594
65,These are simple and save lots of time.,"Plus, computers also help you stay in touch with friends.",Even if they are @NUM1 miles away you can click a button and have a live video chat!,LABEL_1,0.9405049085617064
67,The possibility are endless on the web.,Another fun website is '@CAPS3'.,This website is where you can 'friend' people you know from the past and interact with them.,LABEL_1,0.5739132761955261
68,There adveances in communication through computers that have been made.,"Things such as cideo chat (vchat) where you can literally see and talk to the other person, or just audio chat where you can talk to the person, have been made.",Such easy ways of communication motivate people to speak to family and friends and stay in touch.,LABEL_1,0.6027782559394836
70,"Computers are the future, and have even proven to save lives.",Why wouldn't somebody want to save the life of another?,"Also, the benefits of @CAPS3, or personal computers, are too large and helpful to pass up.",LABEL_1,0.7275918126106262
77,"Sure we all need to get exercise outside, but the computer can be helpful as long as we don't let it overwelm us.",Smart people would agree that coordination is a very helpful skill.,These brilliant inventions also helps us learn a bout different places and people.,LABEL_1,0.7700875401496887
81,"Some people think gaming is a waste of time, but the same can be said for any indoor leisure activity, everybody needs a fun activity they can do anytime!",Besides everybody likes having fun!,"Some people believe the ludicrous notion that technology is making @LOCATION1 into fat, lifeless losers, but, it is opposite, you can socialize online and meet new people.",LABEL_1,0.7020519375801086
84,"People must adapt to @LOCATION1 technology, or we will fall behind and watch our @CAPS1 slip away.","This proves the effect computers have on people is not only positive, but necessary to advance in an ever-growing world.",Stepping down to a less global level of effects and to a more personal level proves to also be beneficial to humans.,LABEL_1,0.7650846242904663
85,Computers are harmful to our society.,"For starters, computers are harmful because they are very bad for our eyes.","Between the @DATE1 @DATE2 and @DATE3, doctors saw nearly a @PERCENT1 increase in eye problems that resulted in either surgery, glasses, or contacts.",LABEL_1,0.8549290299415588
86,Information can be found in any subject.,"There was a survey taken to see which is used more often, books with a specific subject or computers for information or various subjects.",Computers are used overwhelmingly more often.,LABEL_1,0.6405318975448608
87,"Nearly everybody would be overweight, lethaigic from lack of sleep due to hours on the computer, and unworldly.","Getting exercise is an essential part of everyone's life, and lacking it could be deleterious to one's health.","Hopping off the computer and instead getting exercise, would make for a healthier and more fit country.",LABEL_1,0.754213273525238
88,Computers are extremly helpful with endless information.,A lot of people @DATE1 are very sensitive about our enviroment and how we're treating the earth.,They are looking for new ways to help the world be as green as possible.,LABEL_1,0.6588842868804932
90,"Like trees, they take in @NUM4) and release oxygen.",Oxygen is key to life.,Trees also are home to many living organisms.,LABEL_1,0.6536956429481506
91,With computers you can efficently complete work and learn new skills!,Computers are posotive if used correctly.,"I hope you like this artice, thanks for reading.",LABEL_1,0.9089971780776978
93,"People don't exercise enough as it is, and then when you add computers, people will never get active!","Instead of playing video games onlin, people need to be reminded that turning off the computer and playing a fun beighborhood game of baseball is just as fun and much more beneficial.",This is just one step @CAPS3 need to take to get a healthier lifestyle.,LABEL_1,0.5506677627563477
94,It's clear that the computer is not safe.,"Not to mention, too much time is spent on the computer instead of being active.","Most importantly, computers will negetively affect children's grades.",LABEL_1,0.9461909532546996
96,"As you can see, the internet is a valuable learning tool.","In conclusion, computers help as with coordination, communication and education.",Computers have nothing but positive effects on people on society as a whole.,LABEL_1,0.6121457815170288
97,"Lately, a technology buzz has hit all over the world.","Where ever you look, be it at home, at school, at work, or on the streets, you see people texting, talking on phones, blogging, and other computer related things.",This concerns some people.,LABEL_1,0.9591365456581116
98,"Also, the computer has programs to help you manage expenses, keeping you on top of your game.","Finally, it is also helpful for all the tools that can be used to interact with friends thousands of miles away.",I believe the computer is critical for success and happiness in life.,LABEL_1,0.9204877018928528
99,"As previously mentioned, computers ease the hassels of life.",With computers you are able to plan your life with @CAPS1 output.,This program ables you to enter data on places you have to go and reminds you when time is done to that event.,LABEL_1,0.6698172092437744
100,Dear Local Newspaper: @CAPS1 you know that over half our nation own home computers?,"Recently, though, some experts have been concerned whether or not computers benefit society.","I have been asked to state my opinion and I believe computers have a positive effect becuase, they are mandatory for work, allow online socialization, and expand traveling.",LABEL_1,0.651099443435669
101,One simple way to prevent this is spending less time in the computer.,The effects of cyber bulling can be brutal.,A recent study showed that @PERCENT2 of kids would rather be bullied in face then over the internet.,LABEL_1,0.8756987452507019
105,"Anyone can write and post an article on the internet, even if what they are saying is not true at all.",People can lie and say they are a doctor in their @NUM1's when they are really a @NUM2 year old working at @ORGANIZATION1.,"On the computer, you can never be sure who to believe, but with books you know what you're reading is accurate.",LABEL_1,0.7962365746498108
108,But here is where they go wrong.,"These experts are judging computers too harshly, for it's not like everyone is zoning out in front of a glass screen, sucked into the world beyond.","@CAPS9, most of these ""computer geeks"" are using the computer for useful things, while they are also used for entertainment, computers also help society to reconnect with long-lost friends or even get directions to a well-know resuraunt.",LABEL_1,0.6307329535484314
109,Computers are also attention hogs and take away interaction with family.,Imagine seven years of your life sitting in front of a computer.,You never get up unless you absolutely need to.,LABEL_1,0.9585652947425842
110,Don't make the same mistake as me readers of the @LOCATION1 current.,"I have a friend name @PERSON1, and she is a computer addict.",She would spend days on end on the computer.,LABEL_1,0.5042873024940491
111,She'd sometimes get violent when someone tried to pull her away.,"I hated seeing my friend like this, but mostly I hated how I watched it happen.",It started off innocent enough.,LABEL_1,0.9734750986099244
113,Computers produce games and activities more intense than you can find anywhere else.,Playing baseball simply doesn't require enough focus.,The computer's intricate experience helps future engineers or even pilots develop a focus and hand-eye coordination that could save lives.,LABEL_1,0.9105347990989684
117,"For example, lets say you finished watching a special on the discovery channel about @LOCATION2.","You want to know more, so you pull out your iPod touch.","All you have to do is log on to the internet and search ""@CAPS11 of @LOCATION3, @LOCATION2"" @CAPS12 seconds, you would have your information.",LABEL_1,0.5061802864074707
118,This is how websites like @ORGANIZATION2 make billions from the words being typed into the search engine.,The facts and places that arise from the computr are like gems waiting to be found.,"In conclusion, its easy to see why the computer and its resources are so loved.",LABEL_1,0.7416597604751587
122,In school now many projects are assigned meaning we need the computer and internet.,We use powerpoint and other microsoft documents whether it be typing an essay or creating a powerpoint slideshow.,"We need the internet for research to get the information we need, to suceed.",LABEL_1,0.7727227210998535
123,So why do we need these things?,What seems to make them so important to us?,"The answer is simple, it makes us feel connected.",LABEL_1,0.9725842475891112
124,"In conclusion, I believe computer are benifical to a society.","They ease life, teach people about far away places and the people who live there, and alow people to talk to others.",Computers open doors in the world.,LABEL_1,0.6052111387252808
126,"Dear local newspaper, I has come to my attention that many of us disagree on weather computers have a negative or positive effect on people.",I believe that computers do not benefit society.,"Many people in today's modern world spend way to much time on the computer when they could be exercising, spending time with family and friends, and enjoying nature.",LABEL_1,0.6502488255500793
135,"Dear @PERSON4, I strongly believe that use of computer is beneficial to the community.",One reason I feel this way is that computers can improve hand-eye coordination and other skills.,These computers provide access to games helpful in @ORGANIZATION2 training.,LABEL_1,0.8759168386459351
136,"Second, computers take up so much time that people are with their families.",I used to think that talking with someone.,"Now, I've realized that talking in real life with people is better.",LABEL_1,0.6181191802024841
139,"I had to look up @CAPS10 word in the huge dictionary, I was failing @CAPS11 because i just didn't have the time for my homework!","Then my family bought me a computer, @CAPS13 was so nice using the online dictionary.",I could finish my homework in @NUM1 minutes compared to @NUM2 hours!,LABEL_1,0.5377504229545593
140,"Self-expression is very important to society, and this is why computers have such an affect on people.","@CAPS2 it is clear, computers have a positive affect on people and society.","They allow us to learn about faraway places, communicate with others, and inspire the world around us with our ideas.",LABEL_1,0.5221279859542847
141,"A scientist in @LOCATION3, @PERSON3, says @CAPS3 @CAPS2 humans tend to enjoy communication because it gives @CAPS2 a sense of unity.","This is why so many companies are realizing that sites like @ORGANIZATION2, @CAPS6, and @ORGANIZATION1 are gaining in popularity.""",And this is true.,LABEL_1,0.7480602860450745
142,"Many of @CAPS2 employees work from home and have to own computers.""","The growth of computers is not something to be frowned upon, rather an achievement in technology enhancing the lives of others.",By ripping our computers from lives of workers chaos would be created with many unappealing consequences.,LABEL_1,0.6451976299285889
143,"It is dinner time and you are hungry, but you don't want to lose too much time off of your computer.","You hurry down to the nearest fast-food store and by yourself a cheeseburger, fries, and a soda.",You then go back to your house and eat the food while on your computer.,LABEL_1,0.769802451133728
144,"Now, the internet contains many social networking sites, such as @CAPS1, @CAPS2, and @CAPS3 where you can reunite with lost pals.","These networks also offering access to photosharing and chat, so everybody can see how your family is and vice versa.","Along with this is video chatting, where you can have face to face conversation with somebody even on the other side of the world.",LABEL_1,0.7434553503990173
146,This is another negetive effect computers have on people.,It's a gorgeous @DATE1 day.,"Bright blue skies, cotton candy cloulds, the sun is shining, and there's a nice warm breece.",LABEL_1,0.8056827783584595
147,"Also, websites like @CAPS2.com one one of the greatest concerns when it comes to internet safety.","Although you are supposed to be at least @NUM1 to have a @CAPS2, most kids lie about their age.",Did you know that @NUM2 out of @NUM3 @CAPS2 users lie about their age?,LABEL_1,0.5251508355140686
148,I feel that xomputers are too harmful for society and should be stopped.,Obesity is @CAPS4 of the biggest problems in the @LOCATION1 and is growing bigger everyday.,Over @PERCENT1 of @LOCATION1 population is obese and computers have been a major conributer.,LABEL_1,0.6212034225463867
151,"For example, my aunt, uncle and cousin in @LOCATION1.","My aunt just had a baby, meaning I have a new cousin which I'm not able to see in person yet so seeing pictures on facebook instead of spending money on envolopes, stamps and picture prints is really awesome @CAPS1 homework given out in school requires a computer.",Three out of five homework assignments are on the computer.,LABEL_1,0.5145907998085022
152,"People who stay on computers @CAPS7 day waste precious time could be spent with family, exercising, or finding a true love.",Time is sao precious in our lives and we must not waste it staying o a computer @CAPS7 day.,"Not only can they be time consuming, computers can also be dangerous.",LABEL_1,0.5088180899620056
153,The internet truly is an amazing tool!,"To conclude, the internet holds a very strong role in our daily lives.","Not only can we see who man the @ORGANIZATION2 game, but it also has interactive business softwares as well.",LABEL_1,0.6494842767715454
154,"Lastly, with computers you can talk to people around the world.",you can talk to friends.,Have you ever moved and wanted to talk to a friend from where you previously lived?,LABEL_1,0.9717110991477966
155,I think we can all agree that computer usage is a very controversal issue.,"In my opinion, I believe that computers have a negative effect on people.","For instance, it's not safe and children can get into all sorts of things on the internet.",LABEL_1,0.96203351020813
157,The speed that they are able to recieve new information in is just astonishing!,"@CAPS2 @PERSON2, computer engenieer, says ""With the technology that we recieve from computers, we are able to be in the game.""",@CAPS2 just comes to show one of the best benefits of computers: their ability to display the most current information.,LABEL_1,0.5412062406539917
158,Dear @CAPS1 Society: Computers are perhaps one of the greatest improvements to our societies advancement in knowledge in the past few decades.,"These gems of future, are like a human being; they have their own mind and can figure out answers to all problems.","People all around the world use them, from @LOCATION5 to @LOCATION4, to @LOCATION2 to @LOCATION1, they are being used.",LABEL_1,0.5541675090789795
163,"But out of those @PERCENT2 only @PERCENT3 said they'd actually travel to @LOCATION2 to see them"".",So you can see that @PERCENT4 of those people wouldn't go whether it be due to money or the cold.,Thery @CAPS6 said thats why they love the computer.,LABEL_1,0.5004388689994812
164,"Do you really want to travel up to the icey cold, and piercing winds of the @LOCATION1 just to learn about it?",For some I'd say like that but what if you cant travel up the @LOCATION1 due to money or flying conditions.,I want to be able to study about polar bears and the glaciers without needing to worry.,LABEL_1,0.7879155874252319
166,"With the use of a computer, information that occured sometimes as close to @NUM1 hours ago can appear on the internet!","Not only will this allow you to get information faster, but it will allow our society to ""be in the game.""","You catch a football as it soars through the air, you track a baseball or it flys high in the sky, you grasp the face of a basketball all because you have ""hand-eye"" coordination.",LABEL_1,0.7664763927459717
172,Computers can take precious time away from you that you could be sharing with your family and friends.,That certainly does not benefit society.,A major fault in computers is that you have to be indoors.,LABEL_1,0.9559560418128968
174,It is said that five out of six people could have stopped a heart attack just from taking same time out of their day to go to the gym or take a walk.,No one should lose exercise over playing virtual games and instant messaging on the internet.,Less people get a chance to enjoy nature when they are on the computer all day.,LABEL_1,0.5945724844932556
177,"Along with websites, @CAPS3 games and networks are also very popular and addictive.",Computer addiction can lead to health problems (as talled about before) and withdrawal symptons when you try to stop.,It's very important that people stop spending a lot of time on the computer to make sure an addiction is prevented before it can even start.,LABEL_1,0.783729076385498
180,"Dear @ORGANIZATION2, Computers are destroying modern youth.",The rapid advancement in technology is not a positive thing.,The popular social networks such as facebook and twitter are putting youth at danger of @CAPS1-@CAPS2 and child predators.,LABEL_1,0.7731378078460693
183,"So, I ask you to consider the benefits of computers; but also look for the negative effects.",You will realize that their are more than you would believe.,Support me on this by limiting usage of computers and by helping the public see the dangers that these technological devices @MONTH1 bring.,LABEL_1,0.6512818336486816
185,"Dear @ORGANIZATION1, I understand that there is a big discussion going on about if computers have a possitive effect on people.","I believe that computers do not have a possitive effect on people because children on the computers are not safe, they are spending too much time on the computer, and the programs and internet for the computer cost too much money.","First, computers have a negative effect on people, including chicken, because computers are not safe.",LABEL_1,0.7747271060943604
188,Not only does computers allow you to communicate quickly but also privately.,Both your e-mail account and you instant message account have passwords so that only you can access them.,"Every four out of five households have a computer avalable for completing assignments, checking, e-mails and learning about the, that happend in @LOCATION1 last week.",LABEL_1,0.5395522713661194
189,"In my opinion, the computer has been one of the best technologies in history.","This amazing technology has helped students, teachers, doctors, police officers and even you bank aggents serve our community and make it a better one.",Thank-you.,LABEL_1,0.8628035187721252
191,No one wants to be that way.,"Also your computer might not be working all the time, but your family and friends always will be there.",The world would be better off without computers.,LABEL_1,0.947519302368164
193,"To continue, my second argument is about detrimental effects computers have on the enviroment.","First, computers need electricity to run.",That electricity comes from power plants.,LABEL_1,0.94865620136261
194,"When people turn on the computer because they are bored, it wastes electricity that doesn't need to be used.","Furthermore, scientists suspect humans are now a major cause of global warming.",It is common sense that those powerplants burn their respective fuels to create electricity.,LABEL_1,0.955451488494873
195,"With websites like @CAPS1, @CAPS2, and @CAPS3 you can have a whole different online life, with friends that you haven't even seen before.","Sometimes, people have even been known to think that their online life is better and get sucked into it.",Take @CAPS4 of @CAPS5 for example.,LABEL_1,0.867607057094574
196,"Also, living this secluded lifestyle can cut off ties with your friends and family.","In order to use computors wisely, we have to learn how to balance computor time with an active lifestyle.","The problem is, not many people do that.",LABEL_1,0.9673283696174622
197,So then she gave me her email to contact her on the computer so I could talk to her.,"The computer has many websites where people can interact like: @CAPS12, @CAPS14, @CAPS13, aol, msn, yahoo, g-mail, twitter, and many more.",i like talking to people from all over the country.,LABEL_1,0.7511831521987915
200,Dear local Newspaper; @CAPS1 you know that computers teach you to do many things?,You probably do!,I understand you would like to know my opinion on whether or not computers have a positive or negative effect on people.,LABEL_1,0.6240837574005127
201,I think that learning how to type is an excellent thing.,Typing helps you if you want to become a secretary or even a newspaper editor.,My mother is a secretary down town at the low form called: @ORGANIZATION1.,LABEL_1,0.5244194269180298
202,Typing is a big part of your life.,"You can use it for a project that you have to do for class, or an essay lthat you have to type to apply for a scholarship ro colege.","Typing is used everywhere, even in math class my teacher types up things and pits them on the @CAPS8 @CAPS9.",LABEL_1,0.7790005803108215
204,Computers are the real dael.,They can help you do anything.,They've helped me my whole life.,LABEL_1,0.7850396633148193
205,"Dear @ORGANIZATION1, In this new digital age, computors are beaming more and more advanced.","You can do just about anything with computors now from talking to people, to learning about faraway places.","It is not all as wonderful as it seems, though for people's lives have been ruined because of the internet.",LABEL_1,0.5181683301925659
207,"In conclusion, i think that computers have a positive effect on people.",One because they can interact with others.,Two: they can look up things to help them.,LABEL_1,0.9550377130508424
208,"Readers of ""@LOCATION2 @CAPS1"" should be well informed of the benifets of computers to society.","Not only do they teach hand-eye coordination, but they give people the ability to learn about faraway places and provide a means to easy, online communication.","In this day and age, good coordination is esencial to prospering in society.",LABEL_1,0.7924423813819885
211,"I tried as hard as I could, but everytime I logged unto facebook and looked at what people said about me, I died inside.","I almost had no desire to live.""","That quote was said by @PERSON1, a former student of @ORGANIZATION1.",LABEL_1,0.8867319226264954
212,Those are @NUM1 lives that could have been saved; @NUM1 families that could still be together.,"This computer madness is losing lives, we cannot allow this to continue.","Not only are computers causing emotional danger, but also physical.",LABEL_1,0.9218454360961914
213,The large number of obese children is in large part caused by computers.,"The many features of computers, such as instant messaging, music playing, and games, draw kids in - making them spen time they could use exercising, in front of a computer.",Statistics show that the average obese child spends @PERCENT1 their free time on a computer.,LABEL_1,0.6640779972076416
214,"In @DATE1, children spent @PERCENT2 of their day in front of a computer and @PERCENT3 outside.",Over the past @NUM4 years these numbers have headed south due to tha advance in technology.,"These numbers prove that computers have dictated obese children's day, making their physical condition even worse.",LABEL_1,0.6929119825363159
216,Cyber bullying is spreading like wildfire.,"Its anonymous, and can be detrimental to the lives of others.",Internet videos of people acting like idiots never go away.,LABEL_1,0.8952683210372925
217,The video has been viewed over @NUM1 million times.,"The guy in the video was made fun of for years, sued the people who put the tape online, and was forced into depression.","Moving on, people can literally get their lives taken away with computors too.",LABEL_1,0.8265410661697388
218,Even my dad had is credit card account stolen last year.,"Computors must help, but they can hurt much more.","In conclusion, computors are a detriment to society.",LABEL_1,0.8576636910438538
219,"Dear Newspaper @CAPS1, I firmly believe that computers are beneficial to today's society.","Not only do computers help us connect with peopl, but think of how efficiant they can be.",And you can't neglect the fact that computers offer a profusion of entertainment.,LABEL_1,0.5893733501434326
221,"In addition to connecting with people, computers are very efficiant.","As students mature, homework is taken seriously.","For instance, one of my friends handed in an essay and our teacher did not accept it.",LABEL_1,0.9728277325630188
222,"Typing homework is an easy alternative to handing in messy, unsophisticated work.",The efficiency of a computer is also recognized when trying to accomplish seemingly simple tasks.,Just imagine how often you'd get lost without your directions from.,LABEL_1,0.625304639339447
228,"In addition, computers have a positive effect on people because they can do many things that nothing else can do.","This is things like staying in town with someone far away, or editing photos.",Even playing a game on the computer could ne relaxing to almost anyone.,LABEL_1,0.7338044047355652
229,"My father always told me, ""Computers save people everyday"".",Even schools use computers!,"They provide educational information about the students in schools, and my school, @LOCATION1 school, uses them quite often.",LABEL_1,0.9248033165931702
230,"When surveyed, @PERCENT2 of people agreed that they talk to relatives from other places on the computer.","Dr. @PERSON1, from @ORGANIZATION1 says, ""The computer is the main source of entertainment for most teens and adults.""","@CAPS2, you wouldn't want to take away our main source of enteratinment, would you?",LABEL_1,0.6887604594230652
231,"For example, my neighbor, @PERSON3, comes home after school by herself.","She is usually extremely bored, so, she goes on the computer and plays games, and talk with friends.","@PERSON3 can also talk to her cousins, @PERSON5 and @PERSON6, that live in @LOCATION1.",LABEL_1,0.7154768109321594
232,"However, @PERSON4 isn't the only person who thinks the computer is convinent.","When surveyed, @PERCENT1 of people voted that when they have a question about something the computer is the most convinent item to use.","Professor @PERSON2, from @ORGANIZATION2 says, ""@CAPS1, since more people are learning how to use the computer, it is becoming more convinent to everyone.""",LABEL_1,0.6593047976493835
236,"Even more importantly, the hand-eye coordination gained from using a computer can increase the chances of getting a job involving computer hand-eye coordination as an adult such as the position of a secretary or grafic designer.","While hand-eye coordination is a factor of computers that has an extremely positive effect on people, the ability to learn about distant places with the touch of a keyboard is even more benificial towards all users.",Website such as google and yahoo can track down millions of results in a matter of seconds if you search the name of a city or country.,LABEL_1,0.6084758639335632
238,@NUM1 out of ten people said that they would rather email a person than talk on the phone with them.,"Now, with computers, people can instant message, or email anyone, anywhere in the world.","Making a call from @LOCATION1 to @LOCATION2 can be very expensive but with email, I can talk to my @CAPS1 friend, @PERSON1, free of charge.",LABEL_1,0.6466614007949829
